repoName,branch,javaVersion,style,buildTool,buildAction,skip,skipReason
BytecodeDL/log4j2,main,8,,maven,,,
CESNET/perun,master,17,,maven,,,
CJBuchel/CJs-EmbeddedTools,master,8,,gradlew,,,
CJT2325/CameraView,master,8,,gradlew,,true,Build uses Gradle 2.x
CMSgov/dpc-app,master,11,,maven,,,
CMSgov/qpp-conversion-tool,develop,8,,maven,,,
CONNECT-Solution/CONNECT,CONNECT_integration,8,,maven,,,
CainKernel/CainCamera,master,8,,gradlew,,,
CaiqueJhones/BaseSwing,master,8,,gradlew,,true,Build uses Gradle 2.x
CalebFenton/simplify,master,8,,gradlew,,,
Caltech-IPAC/firefly,dev,8,,gradle,,,
Camelliaguoqian/ofcms,master,8,,maven,,,
CaptainJack/gradle-bintray,master,8,,gradlew,,,
CaptainJack/gradle-capjack-bintray,master,8,,gradlew,,,
CaptainJack/gradle-capjack-publish,master,8,,gradlew,,,
CaptainJack/gradle-depver,master,8,,gradlew,,,
CaptainJack/gradle-jst,master,8,,gradlew,,,
CaptainJack/gradle-ktjs-test,master,8,,gradlew,,,
CaptainJack/gradle-publish,master,8,,gradlew,,,
CaptainJack/gradle-reposit,master,8,,gradlew,,,
CaptainJack/kt-inject,master,8,,gradlew,,,
CaptainJack/kt-logging,master,8,,gradlew,,,
CaptainJack/kt-reflect,master,8,,gradlew,,,
CaptainJack/ktjs-reflect,master,8,,gradlew,,,
CaptainJack/lib-kt-logging,master,8,,gradlew,,,
CaptainJack/lib-kt-reflect,master,8,,gradlew,,,
CaptainJack/tool-depin,master,8,,gradlew,,,
CaptainJack/tool-logging,master,8,,gradlew,,,
CaptainJack/tool-reflect,master,8,,gradlew,,,
CategoricalData/CQL,master,17,,gradlew,,,
Catrobat/Catroid,develop,8,,gradlew,,,
CellularPrivacy/Android-IMSI-Catcher-Detector,development,8,,gradlew,,true,Build uses Gradle 3.x
Centril/gradle-plugin-lgio,master,8,,gradlew,,true,Build uses Gradle 2.x
ChadCSong/ShineButton,master,8,,gradlew,,,
ChaitanyaPramod/findbugs-android,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
ChanTsune/LicenseToolsPlusPlugin,main,8,,gradlew,,,
CharlesAHunt/scalapb-gradle-plugin,master,8,,gradlew,,,
CharlesSkelton/studio,master,8,,gradle,,,
Chentingz/TrafficMonitor4Floodlight,master,8,,maven,,,
CherryPerry/GradleFileEncrypt,master,8,,gradlew,,,
ChestShop-authors/ChestShop-3,master,8,,maven,,,
ChestnutPlus/ModulesCommon,2.0,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
ChinaYangc/hibernate,master,8,,gradlew,,true,Build uses Gradle 3.x
Chocorean/authmod,main,8,,gradlew,,,
Chocorean/authmod-core,main,8,,gradlew,,,
Chris2011/minifierbeans,master,8,,maven,,,
ChrisRM/material-theme-jetbrains,master,8,,gradlew,,,
ChristopheCVB/TouchPortalPluginSDK,master,8,,gradlew,,,
ChristopherLukombo/DematNotes,master,8,,maven,,,
Clans/FloatingActionButton,master,8,,gradlew,,true,Build uses Gradle 2.x
Clashsoft/Angular-Gradle,master,8,,gradlew,,,
Clashsoft/GenTreeSrc-Gradle,master,8,,gradlew,,,
Clashsoft/Simple-Publish,master,8,,gradlew,,,
ClearTK/cleartk,master,8,,maven,,,
CleverPumpkin/App-Badge,master,8,,gradlew,,true,Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain (gradlew present but wrapper jar missing)
CleverPumpkin/Proguard-Dictionaries-Generator,master,8,,gradlew,,true,Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain (gradlew present but wrapper jar missing)
ClickHouse/clickhouse-jdbc,master,8,,maven,,,
CloudNetService/updateserver,master,11,,maven,,,
CloudOpting/cloudopting-manager,master,8,,maven,,,
CloudPipelines/jenkins,master,8,,gradlew,,,
CloudSlang/cloud-slang,master,8,,maven,,,
CloudSlang/score,master,8,,maven,,,
CnPeng/PicSelector,master,8,,gradlew,,,
CodePoem/VCompressorGradle,master,8,,gradlew,,,
CodingGay/BlackDex,main,8,,gradlew,,,
CogComp/cogcomp-nlp,master,8,,maven,,,
Cognifide/gradle-aem-plugin,master,8,,gradlew,,,
Cognifide/gradle-htl-plugin,master,8,,gradlew,,,
Cognifide/gradle-sling-plugin,master,8,,gradlew,,,
CognitiveJ/cognitivej,master,8,,gradlew,,true,Build uses Gradle 2.x
Col-E/Recaf,master,8,,maven,,,
ComaToes/ftl-profile-editor,master,8,,maven,,,
Comcast/pantry,master,8,,maven,,,
Comcast/redirector,master,8,,maven,,,
Comcast/resourceprovider2,master,8,,gradlew,,,
Commencis/Android-Checklist-Plugin,master,8,,gradlew,,,
Commonjava/auditquery,master,8,,maven,,,
CompassSecurity/SAMLRaider,master,8,,gradle,,,
CompendiumNG/CompendiumNG,2.1.5,8,,gradlew,,true,Build uses Gradle 2.x
ConsenSys/teku,master,8,,gradlew,,,
ConsenSys/wittgenstein,master,8,,gradle,,,
Contargo/iris,master,8,,maven,,,
